ADXL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Value,Min Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.14,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Num,ADXL Vector,Filtered ADXL Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,0.87,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,0.85,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1.17,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0.89,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,0.74,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1.17,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,1.29,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1.14,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,1.21,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,0.89,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1.36,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,0.89,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,1.09,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1.09,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,0.87,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1.19,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
